Channel:Channel1
Capture Time:2025-01-14 13:43:34.429
Length:39300
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.701999872,0
-3.701799872,0
-3.701599872,0
-3.701399872,-1.6
-3.701199872,0
-3.700999872,-0.8
-3.700799872,-0.8
-3.700599872,-0.8
-3.700399872,-0.8
-3.700199872,-0.8
-3.699999872,0
-3.699799872,-0.8
-3.699599872,-0.8
-3.699399872,-0.8
-3.699199872,-0.8
-3.698999872,-0.8
-3.698799872,-0.8
-3.698599872,-0.8
-3.698399872,-0.8
-3.698199872,-0.8
-3.697999872,-0.8
-3.697799872,-0.8
-3.697599872,-0.8
-3.697399872,-0.8
-3.697199872,-0.8
-3.696999872,0
-3.696799872,0
-3.696599872,-0.8
-3.696399872,0
-3.696199872,0
-3.695999872,0
-3.695799872,0
-3.695599872,0
-3.695399872,0
-3.695199872,0
-3.694999872,0
-3.694799872,0
-3.694599872,0
-3.694399872,0
-3.694199872,0
-3.693999872,0
-3.693799872,0
-3.693599872,0.8
-3.693399872,0.8
-3.693199872,0.8
-3.692999872,0.8
-3.692799872,1.6
-3.692599872,1.6
-3.692399872,0.8
-3.692199872,1.6
-3.691999872,0.8
-3.691799872,0.8
-3.691599872,1.6
-3.691399872,2.4
-3.691199872,2.4
-3.690999872,0.8
-3.690799872,1.6
-3.690599872,2.4
-3.690399872,1.6
-3.690199872,2.4
-3.689999872,0.8
-3.689799872,1.6
-3.689599872,1.6
-3.689399872,1.6
-3.689199872,1.6
-3.688999872,2.4
-3.688799872,2.4
-3.688599872,1.6
-3.688399872,1.6
-3.688199872,1.6
-3.687999872,1.6
-3.687799872,1.6
-3.687599872,1.6
-3.687399872,2.4
-3.687199872,1.6
-3.686999872,1.6
-3.686799872,1.6
-3.686599872,0.8
-3.686399872,1.6
-3.686199872,1.6
-3.685999872,0.8
-3.685799872,0.8
-3.685599872,0.8
-3.685399872,0.8
-3.685199872,0.8
-3.684999872,0.8
-3.684799872,0.8
-3.684599872,0
-3.684399872,0.8
-3.684199872,0.8
-3.683999872,0
-3.683799872,0.8
-3.683599872,0
-3.683399872,0
-3.683199872,0
-3.682999872,0
-3.682799872,0
-3.682599872,0
-3.682399872,0
-3.682199872,0
-3.681999872,-0.8
-3.681799872,0
-3.681599872,-0.8
-3.681399872,-0.8
-3.681199872,-0.8
-3.680999872,-0.8
-3.680799872,-0.8
-3.680599872,-0.8
-3.680399872,0
-3.680199872,0
-3.679999872,0
-3.679799872,-0.8
-3.679599872,-1.6
-3.679399872,-0.8
-3.679199872,-0.8
-3.678999872,-0.8
-3.678799872,-0.8
-3.678599872,-0.8
-3.678399872,-0.8
-3.678199872,-0.8
-3.677999872,-0.8
-3.677799872,-0.8
-3.677599872,-0.8
-3.677399872,0
-3.677199872,0
-3.676999872,0
-3.676799872,0
-3.676599872,0
